date,store,cash,total
2025-01-05,Черноморский,non-cash,13670
2025-01-06,Анапа,cash,760
2025-01-06,Анапа,non-cash,2300
2025-01-06,Боба Рэббит,cash,8300
2025-01-06,Боба Рэббит,non-cash,34160
2025-01-06,Геленджик,cash,300
2025-01-06,Геленджик,non-cash,8540
2025-01-06,Грин Парк,cash,8475
2025-01-06,Грин Парк,non-cash,21145
2025-01-06,Красная,cash,2400
2025-01-06,Красная,non-cash,12225
2025-01-06,Советов,cash,0
2025-01-06,Советов,non-cash,11635
2025-01-06,Черноморский,cash,1610
2025-01-06,Черноморский,non-cash,13495
2025-01-07,Анапа,cash,0
2025-01-07,Анапа,non-cash,4460
2025-01-07,Боба Рэббит,cash,14260
2025-01-07,Боба Рэббит,non-cash,33940
2025-01-07,Геленджик,cash,1930
2025-01-07,Геленджик,non-cash,10620
2025-01-07,Грин Парк,cash,12565
2025-01-07,Грин Парк,non-cash,17980
2025-01-07,Красная,cash,4170
2025-01-07,Красная,non-cash,11725
2025-01-07,Советов,cash,1000
2025-01-07,Советов,non-cash,13620
2025-01-07,Черноморский,cash,910
2025-01-07,Черноморский,non-cash,15080
2025-01-08,Анапа,cash,500
2025-01-08,Анапа,non-cash,2600
2025-01-08,Боба Рэббит,cash,16650
2025-01-08,Боба Рэббит,non-cash,34845
2025-01-08,Геленджик,cash,1100
2025-01-08,Геленджик,non-cash,5605
2025-01-08,Грин Парк,cash,4400
2025-01-08,Грин Парк,non-cash,18100
2025-01-08,Красная,cash,2700
2025-01-08,Красная,non-cash,10875
2025-01-08,Советов,cash,2000
2025-01-08,Советов,non-cash,10715
2025-01-08,Черноморский,cash,4600
2025-01-08,Черноморский,non-cash,22145
2025-01-09,Анапа,cash,450
2025-01-09,Анапа,non-cash,2650
2025-01-09,Боба Рэббит,cash,400
2025-01-09,Боба Рэббит,non-cash,14485
2025-01-09,Геленджик,cash,1490
2025-01-09,Геленджик,non-cash,5520
2025-01-09,Грин Парк,cash,1940
2025-01-09,Грин Парк,non-cash,10765
2025-01-09,Красная,cash,1600
2025-01-09,Красная,non-cash,13050
2025-01-09,Советов,cash,1400
2025-01-09,Советов,non-cash,5750
2025-01-09,Черноморский,cash,2210
2025-01-09,Черноморский,non-cash,10675
2025-01-10,Анапа,cash,1850
2025-01-10,Анапа,non-cash,4350
2025-01-10,Боба Рэббит,cash,7300
2025-01-10,Боба Рэббит,non-cash,20310
2025-01-10,Геленджик,cash,950
2025-01-10,Геленджик,non-cash,3300
2025-01-10,Грин Парк,cash,4850
2025-01-10,Грин Парк,non-cash,13965
2025-01-10,Красная,cash,2050
2025-01-10,Красная,non-cash,13070
2025-01-10,Советов,cash,900
2025-01-10,Советов,non-cash,12100
2025-01-10,Черноморский,cash,3150
2025-01-10,Черноморский,non-cash,9000
2025-01-11,Анапа,cash,350
2025-01-11,Анапа,non-cash,3550
2025-01-11,Боба Рэббит,cash,6960
2025-01-11,Боба Рэббит,non-cash,25310
2025-01-11,Геленджик,cash,2550
2025-01-11,Геленджик,non-cash,6740
2025-01-11,Грин Парк,cash,3450
2025-01-11,Грин Парк,non-cash,20835
2025-01-11,Красная,cash,2000
2025-01-11,Красная,non-cash,20150
2025-01-11,Советов,cash,2300
2025-01-11,Советов,non-cash,14810
2025-01-11,Черноморский,cash,3250
2025-01-11,Черноморский,non-cash,20390
2025-01-12,Анапа,cash,0
2025-01-12,Анапа,non-cash,4290
2025-01-12,Боба Рэббит,cash,9650
2025-01-12,Боба Рэббит,non-cash,23395
2025-01-12,Геленджик,cash,1200
2025-01-12,Геленджик,non-cash,3800
2025-01-12,Грин Парк,cash,6670
2025-01-12,Грин Парк,non-cash,26000
2025-01-12,Красная,cash,3400
2025-01-12,Красная,non-cash,11305
2025-01-12,Советов,cash,350
2025-01-12,Советов,non-cash,7650
2025-01-12,Черноморский,cash,2175
2025-01-12,Черноморский,non-cash,6325
2025-01-13,Анапа,cash,400
2025-01-13,Анапа,non-cash,2450
2025-01-13,Боба Рэббит,cash,3200
2025-01-13,Боба Рэббит,non-cash,13045
2025-01-13,Геленджик,cash,0
2025-01-13,Геленджик,non-cash,2195
2025-01-13,Грин Парк,cash,1450
2025-01-13,Грин Парк,non-cash,5440
2025-01-13,Красная,cash,2750
2025-01-13,Красная,non-cash,8575
2025-01-13,Советов,cash,900
2025-01-13,Советов,non-cash,6430
2025-01-13,Черноморский,cash,510
2025-01-13,Черноморский,non-cash,3050
2025-01-14,Анапа,cash,450
2025-01-14,Анапа,non-cash,2350
2025-01-14,Боба Рэббит,cash,3700
2025-01-14,Боба Рэббит,non-cash,14810
2025-01-14,Геленджик,cash,550
2025-01-14,Геленджик,non-cash,1700
2025-01-14,Грин Парк,cash,2800
2025-01-14,Грин Парк,non-cash,10155
2025-01-14,Красная,cash,450
2025-01-14,Красная,non-cash,10320
2025-01-14,Советов,cash,2250
2025-01-14,Советов,non-cash,10390
2025-01-14,Черноморский,cash,950
2025-01-14,Черноморский,non-cash,2315
2025-01-15,Анапа,cash,400
2025-01-15,Анапа,non-cash,4340
2025-01-15,Боба Рэббит,cash,1350
2025-01-15,Боба Рэббит,non-cash,7915
2025-01-15,Геленджик,cash,100
2025-01-15,Геленджик,non-cash,2155
2025-01-15,Грин Парк,cash,4670
2025-01-15,Грин Парк,non-cash,7980
2025-01-15,Красная,cash,1560
2025-01-15,Красная,non-cash,7645
2025-01-15,Советов,cash,1850
2025-01-15,Советов,non-cash,3080
2025-01-15,Черноморский,cash,625
2025-01-15,Черноморский,non-cash,1800
2025-01-16,Анапа,cash,350
2025-01-16,Анапа,non-cash,2425
2025-01-16,Боба Рэббит,cash,1800
2025-01-16,Боба Рэббит,non-cash,13835
2025-01-16,Геленджик,cash,0
2025-01-16,Геленджик,non-cash,1850
2025-01-16,Грин Парк,cash,1600
2025-01-16,Грин Парк,non-cash,5795
2025-01-16,Красная,cash,2800
2025-01-16,Красная,non-cash,4915
2025-01-16,Советов,cash,1800
2025-01-16,Советов,non-cash,9160
2025-01-16,Черноморский,cash,450
2025-01-16,Черноморский,non-cash,4600
2025-01-17,Анапа,cash,950
2025-01-17,Анапа,non-cash,3015
2025-01-17,Боба Рэббит,cash,3100
2025-01-17,Боба Рэббит,non-cash,12110
2025-01-17,Геленджик,cash,0
2025-01-17,Геленджик,non-cash,2035
2025-01-17,Грин Парк,cash,3410
2025-01-17,Грин Парк,non-cash,13320
2025-01-17,Красная,cash,50
2025-01-17,Красная,non-cash,9998
2025-01-17,Советов,cash,250
2025-01-17,Советов,non-cash,9215
2025-01-17,Черноморский,cash,0
2025-01-17,Черноморский,non-cash,4950
2025-01-18,Анапа,cash,2050
2025-01-18,Анапа,non-cash,2500
2025-01-18,Боба Рэббит,cash,11050
2025-01-18,Боба Рэббит,non-cash,32710
2025-01-18,Геленджик,cash,1400
2025-01-18,Геленджик,non-cash,8330
2025-01-18,Грин Парк,cash,9250
2025-01-18,Грин Парк,non-cash,19280
2025-01-18,Красная,cash,1550
2025-01-18,Красная,non-cash,16455
2025-01-18,Советов,cash,2550
2025-01-18,Советов,non-cash,9815
2025-01-18,Черноморский,cash,2600
2025-01-18,Черноморский,non-cash,11775
2025-01-19,Анапа,cash,800
2025-01-19,Анапа,non-cash,3500
2025-01-19,Боба Рэббит,cash,16345
2025-01-19,Боба Рэббит,non-cash,32385
2025-01-19,Геленджик,cash,350
2025-01-19,Геленджик,non-cash,2425
2025-01-19,Грин Парк,cash,3300
2025-01-19,Грин Парк,non-cash,17210
2025-01-19,Красная,cash,2850
2025-01-19,Красная,non-cash,16610
2025-01-19,Советов,cash,1525
2025-01-19,Советов,non-cash,8700
2025-01-19,Черноморский,cash,950
2025-01-19,Черноморский,non-cash,12310
2025-01-20,Анапа,cash,0
2025-01-20,Анапа,non-cash,3275
2025-01-20,Боба Рэббит,cash,2650
2025-01-20,Боба Рэббит,non-cash,14120
2025-01-20,Геленджик,cash,0
2025-01-20,Геленджик,non-cash,5255
2025-01-20,Грин Парк,cash,1150
2025-01-20,Грин Парк,non-cash,10470
2025-01-20,Красная,cash,2600
2025-01-20,Красная,non-cash,6650
2025-01-20,Советов,cash,1900
2025-01-20,Советов,non-cash,5045
2025-01-20,Черноморский,cash,900
2025-01-20,Черноморский,non-cash,4645
2025-01-21,Анапа,cash,2050
2025-01-21,Анапа,non-cash,2015
2025-01-21,Боба Рэббит,cash,3060
2025-01-21,Боба Рэббит,non-cash,7690
2025-01-21,Геленджик,cash,0
2025-01-21,Геленджик,non-cash,5285
2025-01-21,Грин Парк,cash,0
2025-01-21,Грин Парк,non-cash,8530
2025-01-21,Красная,cash,800
2025-01-21,Красная,non-cash,8900
2025-01-21,Советов,cash,2050
2025-01-21,Советов,non-cash,5410
2025-01-21,Черноморский,cash,1300
2025-01-21,Черноморский,non-cash,2425
2025-01-22,Анапа,cash,1000
2025-01-22,Анапа,non-cash,6635
2025-01-22,Боба Рэббит,cash,3450
2025-01-22,Боба Рэббит,non-cash,5255
2025-01-22,Геленджик,cash,1400
2025-01-22,Геленджик,non-cash,3285
2025-01-22,Грин Парк,cash,0
2025-01-22,Грин Парк,non-cash,5830
2025-01-22,Красная,cash,800
2025-01-22,Красная,non-cash,9050
2025-01-22,Советов,cash,630
2025-01-22,Советов,non-cash,8850
2025-01-22,Черноморский,cash,700
2025-01-22,Черноморский,non-cash,5050
2025-01-23,Анапа,cash,800
2025-01-23,Анапа,non-cash,2150
2025-01-23,Боба Рэббит,cash,2600
2025-01-23,Боба Рэббит,non-cash,10140
2025-01-23,Геленджик,cash,0
2025-01-23,Геленджик,non-cash,2970
2025-01-23,Грин Парк,cash,400
2025-01-23,Грин Парк,non-cash,5730
2025-01-23,Красная,cash,750
2025-01-23,Красная,non-cash,5400
2025-01-23,Советов,cash,1110
2025-01-23,Советов,non-cash,5100
2025-01-23,Черноморский,cash,550
2025-01-23,Черноморский,non-cash,6070
2025-01-24,Анапа,cash,0
2025-01-24,Анапа,non-cash,1720
2025-01-24,Боба Рэббит,cash,2530
2025-01-24,Боба Рэббит,non-cash,17430
2025-01-24,Геленджик,cash,550
2025-01-24,Геленджик,non-cash,3990
2025-01-24,Грин Парк,cash,1000
2025-01-24,Грин Парк,non-cash,12010
2025-01-24,Красная,cash,900
2025-01-24,Красная,non-cash,9550
2025-01-24,Советов,cash,1525
2025-01-24,Советов,non-cash,8960
2025-01-24,Черноморский,cash,0
2025-01-24,Черноморский,non-cash,6010
2025-01-25,Анапа,cash,350
2025-01-25,Анапа,non-cash,5830
2025-01-25,Боба Рэббит,cash,7580
2025-01-25,Боба Рэббит,non-cash,30280
2025-01-25,Геленджик,cash,1700
2025-01-25,Геленджик,non-cash,7720
2025-01-25,Грин Парк,cash,3785
2025-01-25,Грин Парк,non-cash,26595
2025-01-25,Красная,cash,1900
2025-01-25,Красная,non-cash,11550
2025-01-25,Советов,cash,3750
2025-01-25,Советов,non-cash,14115
2025-01-25,Черноморский,cash,2150
2025-01-25,Черноморский,non-cash,24600
2025-01-26,Анапа,cash,400
2025-01-26,Анапа,non-cash,2855
2025-01-26,Боба Рэббит,cash,7400
2025-01-26,Боба Рэббит,non-cash,27290
2025-01-26,Геленджик,cash,3450
2025-01-26,Геленджик,non-cash,8390
2025-01-26,Грин Парк,cash,4875
2025-01-26,Грин Парк,non-cash,23035
2025-01-26,Красная,cash,2205
2025-01-26,Красная,non-cash,12845
2025-01-26,Советов,cash,800
2025-01-26,Советов,non-cash,13405
2025-01-26,Черноморский,cash,2060
2025-01-26,Черноморский,non-cash,25545
2025-01-27,Анапа,cash,700
2025-01-27,Анапа,non-cash,4655
2025-01-27,Боба Рэббит,cash,1700
2025-01-27,Боба Рэббит,non-cash,9560
2025-01-27,Геленджик,cash,350
2025-01-27,Геленджик,non-cash,4545
2025-01-27,Грин Парк,cash,400
2025-01-27,Грин Парк,non-cash,12480
2025-01-27,Красная,cash,500
2025-01-27,Красная,non-cash,6660
2025-01-27,Советов,cash,810
2025-01-27,Советов,non-cash,14840
2025-01-27,Черноморский,cash,1200
2025-01-27,Черноморский,non-cash,6765
2025-01-28,Анапа,cash,950
2025-01-28,Анапа,non-cash,3988
2025-01-28,Боба Рэббит,cash,965
2025-01-28,Боба Рэббит,non-cash,13905
2025-01-28,Геленджик,cash,1050
2025-01-28,Геленджик,non-cash,3760
2025-01-28,Грин Парк,cash,0
2025-01-28,Грин Парк,non-cash,4650
2025-01-28,Красная,cash,1200
2025-01-28,Красная,non-cash,7820
2025-01-28,Советов,cash,0
2025-01-28,Советов,non-cash,5040
2025-01-28,Черноморский,cash,900
2025-01-28,Черноморский,non-cash,6210
2025-01-29,Анапа,cash,1200
2025-01-29,Анапа,non-cash,5500
2025-01-29,Боба Рэббит,cash,1600
2025-01-29,Боба Рэббит,non-cash,9460
2025-01-29,Геленджик,cash,1095
2025-01-29,Геленджик,non-cash,5455
2025-01-29,Грин Парк,cash,500
2025-01-29,Грин Парк,non-cash,11920
2025-01-29,Красная,cash,12370
2025-01-29,Красная,non-cash,6550
2025-01-29,Советов,cash,975
2025-01-29,Советов,non-cash,8080
2025-01-29,Черноморский,cash,350
2025-01-29,Черноморский,non-cash,10550
2025-01-30,Анапа,cash,200
2025-01-30,Анапа,non-cash,4740
2025-01-30,Боба Рэббит,cash,2700
2025-01-30,Боба Рэббит,non-cash,13585
2025-01-30,Геленджик,cash,490
2025-01-30,Геленджик,non-cash,5100
2025-01-30,Грин Парк,cash,350
2025-01-30,Грин Парк,non-cash,9945
2025-01-30,Красная,cash,2825
2025-01-30,Красная,non-cash,6650
2025-01-30,Советов,cash,1350
2025-01-30,Советов,non-cash,10700
2025-01-30,Черноморский,cash,700
2025-01-30,Черноморский,non-cash,7075
2025-01-31,Боба Рэббит,cash,1500
2025-01-31,Боба Рэббит,non-cash,12295
2025-01-31,Геленджик,cash,950
2025-01-31,Геленджик,non-cash,2700
2025-01-31,Грин Парк,cash,500
2025-01-31,Грин Парк,non-cash,14410
2025-01-31,Красная,cash,955
2025-01-31,Красная,non-cash,6700
2025-01-31,Советов,cash,550
2025-01-31,Советов,non-cash,8795
2025-01-31,Черноморский,cash,0
2025-01-31,Черноморский,non-cash,7200
2025-02-01,Анапа,cash,1100
2025-02-01,Анапа,non-cash,2810
2025-02-01,Боба Рэббит,cash,7865
2025-02-01,Боба Рэббит,non-cash,31110
2025-02-01,Геленджик,cash,2570
2025-02-01,Геленджик,non-cash,12840
2025-02-01,Грин Парк,cash,2850
2025-02-01,Грин Парк,non-cash,19510
2025-02-01,Красная,cash,2250
2025-02-01,Красная,non-cash,16775
2025-02-01,Советов,cash,3180
2025-02-01,Советов,non-cash,11100
2025-02-01,Черноморский,cash,1600
2025-02-01,Черноморский,non-cash,18290
2025-02-02,Анапа,cash,600
2025-02-02,Анапа,non-cash,2300
2025-02-02,Боба Рэббит,cash,7550
2025-02-02,Боба Рэббит,non-cash,30755
2025-02-02,Геленджик,cash,1335
2025-02-02,Геленджик,non-cash,9560
2025-02-02,Грин Парк,cash,9770
2025-02-02,Грин Парк,non-cash,19315
2025-02-02,Красная,cash,3145
2025-02-02,Красная,non-cash,11680
2025-02-02,Советов,cash,1000
2025-02-02,Советов,non-cash,6750
2025-02-02,Черноморский,cash,2830
2025-02-02,Черноморский,non-cash,10680
2025-02-03,Анапа,cash,0
2025-02-03,Анапа,non-cash,1450
2025-02-03,Боба Рэббит,cash,2400
2025-02-03,Боба Рэббит,non-cash,6005
2025-02-03,Геленджик,cash,280
2025-02-03,Геленджик,non-cash,3300
2025-02-03,Грин Парк,cash,1445
2025-02-03,Грин Парк,non-cash,7795
2025-02-03,Красная,cash,0
2025-02-03,Красная,non-cash,6545
2025-02-03,Советов,cash,1250
2025-02-03,Советов,non-cash,9495
2025-02-03,Черноморский,cash,0
2025-02-03,Черноморский,non-cash,7645
2025-02-04,Анапа,cash,1050
2025-02-04,Анапа,non-cash,3325
2025-02-04,Боба Рэббит,cash,2350
2025-02-04,Боба Рэббит,non-cash,13170
2025-02-04,Геленджик,cash,0
2025-02-04,Геленджик,non-cash,10730
2025-02-04,Грин Парк,cash,0
2025-02-04,Грин Парк,non-cash,4485
2025-02-04,Красная,cash,0
2025-02-04,Красная,non-cash,5325
2025-02-04,Советов,cash,400
2025-02-04,Советов,non-cash,4450
2025-02-04,Черноморский,cash,900
2025-02-04,Черноморский,non-cash,1500
2025-02-05,Анапа,cash,1550
2025-02-05,Анапа,non-cash,5460
2025-02-05,Боба Рэббит,cash,1600
2025-02-05,Боба Рэббит,non-cash,6160
2025-02-05,Геленджик,cash,350
2025-02-05,Геленджик,non-cash,3330
2025-02-05,Грин Парк,cash,1350
2025-02-05,Грин Парк,non-cash,9535
2025-02-05,Красная,cash,0
2025-02-05,Красная,non-cash,5430
2025-02-05,Советов,cash,2495
2025-02-05,Советов,non-cash,4210
2025-02-05,Черноморский,cash,50
2025-02-05,Черноморский,non-cash,2050
2025-02-06,Анапа,cash,400
2025-02-06,Анапа,non-cash,850
2025-02-06,Боба Рэббит,cash,2950
2025-02-06,Боба Рэббит,non-cash,10700
2025-02-06,Геленджик,cash,0
2025-02-06,Геленджик,non-cash,2657
2025-02-06,Грин Парк,cash,0
2025-02-06,Грин Парк,non-cash,3640
2025-02-06,Красная,cash,0
2025-02-06,Красная,non-cash,4000
2025-02-06,Советов,cash,940
2025-02-06,Советов,non-cash,7470
2025-02-06,Черноморский,cash,0
2025-02-06,Черноморский,non-cash,980
2025-02-07,Анапа,cash,1275
2025-02-07,Анапа,non-cash,5255
2025-02-07,Боба Рэббит,cash,1700
2025-02-07,Боба Рэббит,non-cash,7535
2025-02-07,Геленджик,cash,800
2025-02-07,Геленджик,non-cash,4315
2025-02-07,Грин Парк,cash,4555
2025-02-07,Грин Парк,non-cash,11070
2025-02-07,Красная,cash,2400
2025-02-07,Красная,non-cash,8215
2025-02-07,Советов,cash,250
2025-02-07,Советов,non-cash,3205
2025-02-07,Черноморский,cash,0
2025-02-07,Черноморский,non-cash,1580
2025-02-08,Анапа,cash,0
2025-02-08,Анапа,non-cash,3900
2025-02-08,Боба Рэббит,cash,6265
2025-02-08,Боба Рэббит,non-cash,28310
2025-02-08,Геленджик,cash,1450
2025-02-08,Геленджик,non-cash,2870
2025-02-08,Грин Парк,cash,3950
2025-02-08,Грин Парк,non-cash,21215
2025-02-08,Красная,cash,3550
2025-02-08,Красная,non-cash,13615
2025-02-08,Советов,cash,2875
2025-02-08,Советов,non-cash,7095
2025-02-08,Черноморский,cash,0
2025-02-08,Черноморский,non-cash,2150
2025-02-09,Анапа,cash,960
2025-02-09,Анапа,non-cash,3375
2025-02-09,Боба Рэббит,cash,10125
2025-02-09,Боба Рэббит,non-cash,20910
2025-02-09,Геленджик,cash,0
2025-02-09,Геленджик,non-cash,3005
2025-02-09,Грин Парк,cash,500
2025-02-09,Грин Парк,non-cash,20585
2025-02-09,Красная,cash,1300
2025-02-09,Красная,non-cash,14010
2025-02-09,Советов,cash,500
2025-02-09,Советов,non-cash,5900
2025-02-09,Черноморский,cash,0
2025-02-09,Черноморский,non-cash,915
2025-02-10,Анапа,cash,900
2025-02-10,Анапа,non-cash,5630
2025-02-10,Боба Рэббит,cash,750
2025-02-10,Боба Рэббит,non-cash,11750
2025-02-10,Геленджик,cash,0
2025-02-10,Геленджик,non-cash,665
2025-02-10,Грин Парк,cash,2050
2025-02-10,Грин Парк,non-cash,11465
2025-02-10,Красная,cash,2900
2025-02-10,Красная,non-cash,2550
2025-02-10,Советов,cash,1150
2025-02-10,Советов,non-cash,6305
2025-02-10,Черноморский,cash,350
2025-02-10,Черноморский,non-cash,400
2025-02-11,Анапа,cash,0
2025-02-11,Анапа,non-cash,3485
2025-02-11,Боба Рэббит,cash,2150
2025-02-11,Боба Рэббит,non-cash,12165
2025-02-11,Геленджик,cash,0
2025-02-11,Геленджик,non-cash,1330
2025-02-11,Грин Парк,cash,2050
2025-02-11,Грин Парк,non-cash,7305
2025-02-11,Красная,cash,425
2025-02-11,Красная,non-cash,4225
2025-02-11,Советов,cash,1805
2025-02-11,Советов,non-cash,5980
2025-02-11,Черноморский,cash,0
2025-02-11,Черноморский,non-cash,850
2025-02-12,Анапа,cash,1930
2025-02-12,Анапа,non-cash,2955
2025-02-12,Боба Рэббит,cash,3100
2025-02-12,Боба Рэббит,non-cash,15145
2025-02-12,Геленджик,cash,2110
2025-02-12,Геленджик,non-cash,4800
2025-02-12,Грин Парк,cash,2850
2025-02-12,Грин Парк,non-cash,17840
2025-02-12,Красная,cash,3100
2025-02-12,Красная,non-cash,17495
2025-02-12,Советов,cash,1110
2025-02-12,Советов,non-cash,10925
2025-02-12,Черноморский,cash,410
2025-02-12,Черноморский,non-cash,2680
2025-02-13,Анапа,cash,250
2025-02-13,Анапа,non-cash,2530
2025-02-13,Боба Рэббит,cash,1300
2025-02-13,Боба Рэббит,non-cash,12570
2025-02-13,Геленджик,cash,1550
2025-02-13,Геленджик,non-cash,3775
2025-02-13,Грин Парк,cash,400
2025-02-13,Грин Парк,non-cash,9400
2025-02-13,Красная,cash,1450
2025-02-13,Красная,non-cash,9650
2025-02-13,Советов,cash,820
2025-02-13,Советов,non-cash,3070
2025-02-13,Черноморский,cash,0
2025-02-13,Черноморский,non-cash,2490
2025-02-14,Анапа,cash,0
2025-02-14,Анапа,non-cash,3455
2025-02-14,Боба Рэббит,cash,3800
2025-02-14,Боба Рэббит,non-cash,17765
2025-02-14,Геленджик,cash,1545
2025-02-14,Геленджик,non-cash,5485
2025-02-14,Грин Парк,cash,2150
2025-02-14,Грин Парк,non-cash,22330
2025-02-14,Красная,cash,900
2025-02-14,Красная,non-cash,14220
2025-02-14,Советов,cash,1450
2025-02-14,Советов,non-cash,9160
2025-02-14,Черноморский,cash,315
2025-02-14,Черноморский,non-cash,2500
2025-02-15,Анапа,cash,925
2025-02-15,Анапа,non-cash,1225
2025-02-15,Боба Рэббит,cash,7500
2025-02-15,Боба Рэббит,non-cash,33285
2025-02-15,Геленджик,cash,0
2025-02-15,Геленджик,non-cash,3545
2025-02-15,Грин Парк,cash,4800
2025-02-15,Грин Парк,non-cash,27425
2025-02-15,Красная,cash,4350
2025-02-15,Красная,non-cash,14615
2025-02-15,Советов,cash,1180
2025-02-15,Советов,non-cash,9695
2025-02-16,Анапа,cash,1600
2025-02-16,Анапа,non-cash,4585
2025-02-16,Боба Рэббит,cash,5810
2025-02-16,Боба Рэббит,non-cash,37360
2025-02-16,Геленджик,cash,450
2025-02-16,Геленджик,non-cash,5545
2025-02-16,Грин Парк,cash,7860
2025-02-16,Грин Парк,non-cash,23170
2025-02-16,Красная,cash,2900
2025-02-16,Красная,non-cash,10625
2025-02-16,Советов,cash,1205
2025-02-16,Советов,non-cash,7585
2025-02-16,Черноморский,cash,350
2025-02-16,Черноморский,non-cash,4055
2025-02-17,Анапа,cash,475
2025-02-17,Анапа,non-cash,2900
2025-02-17,Боба Рэббит,cash,1650
2025-02-17,Боба Рэббит,non-cash,19220
2025-02-17,Геленджик,cash,900
2025-02-17,Геленджик,non-cash,2305
2025-02-17,Грин Парк,cash,1100
2025-02-17,Грин Парк,non-cash,9290
2025-02-17,Красная,cash,225
2025-02-17,Красная,non-cash,6920
2025-02-17,Советов,cash,2275
2025-02-17,Советов,non-cash,4750
2025-02-17,Черноморский,cash,0
2025-02-17,Черноморский,non-cash,1345
2025-02-18,Анапа,cash,1000
2025-02-18,Анапа,non-cash,7775
2025-02-18,Боба Рэббит,cash,2300
2025-02-18,Боба Рэббит,non-cash,13730
2025-02-18,Геленджик,cash,0
2025-02-18,Геленджик,non-cash,1025
2025-02-18,Грин Парк,cash,2210
2025-02-18,Грин Парк,non-cash,9680
2025-02-18,Красная,cash,1600
2025-02-18,Красная,non-cash,7630
2025-02-18,Советов,cash,1155
2025-02-18,Советов,non-cash,3180
2025-02-18,Черноморский,cash,0
2025-02-18,Черноморский,non-cash,100
2025-02-19,Анапа,cash,1420
2025-02-19,Анапа,non-cash,7120
2025-02-19,Боба Рэббит,cash,1250
2025-02-19,Боба Рэббит,non-cash,6110
2025-02-19,Геленджик,cash,0
2025-02-19,Геленджик,non-cash,4575
2025-02-19,Грин Парк,cash,0
2025-02-19,Грин Парк,non-cash,7445
2025-02-19,Красная,cash,950
2025-02-19,Красная,non-cash,6950
2025-02-19,Советов,cash,830
2025-02-19,Советов,non-cash,4165
2025-02-19,Черноморский,cash,700
2025-02-19,Черноморский,non-cash,1985
2025-02-20,Анапа,cash,245
2025-02-20,Анапа,non-cash,3630
2025-02-20,Боба Рэббит,cash,3100
2025-02-20,Боба Рэббит,non-cash,8525
2025-02-20,Геленджик,cash,560
2025-02-20,Геленджик,non-cash,4550
2025-02-20,Грин Парк,cash,1460
2025-02-20,Грин Парк,non-cash,7510
2025-02-20,Красная,cash,650
2025-02-20,Красная,non-cash,5400
2025-02-20,Советов,cash,705
2025-02-20,Советов,non-cash,4655
2025-02-20,Черноморский,cash,525
2025-02-20,Черноморский,non-cash,1175
2025-02-21,Анапа,cash,900
2025-02-21,Анапа,non-cash,7325
2025-02-21,Боба Рэббит,cash,1600
2025-02-21,Боба Рэббит,non-cash,8680
2025-02-21,Геленджик,cash,0
2025-02-21,Геленджик,non-cash,3325
2025-02-21,Грин Парк,cash,1900
2025-02-21,Грин Парк,non-cash,7100
2025-02-21,Красная,cash,500
2025-02-21,Красная,non-cash,5630
2025-02-21,Советов,cash,0
2025-02-21,Советов,non-cash,2635
